63.35866896550895-146.95329646843328*I,23.50929371281469-9.523002898695665*I,-6.792332336149782+3.620194069560539*I,0.33790085230552735-4.595240102917993*I,5.489313926353615-0.10065682469719546*I,22.299199374165532+37.16810628294473*I,-51.236510261936715+92.39458036789071*I
-34.432761859467945+1.4276933168510908*I,-12.676750092673053-17.431083491174867*I,4.257813966205277-11.013925382949942*I,7.912003424512878+2.529329699135291*I,-6.657325298779938+9.237792375234905*I,-12.663383202643363-6.680195460799778*I,1.944030779240937-14.003354661604256*I
-11.458616230683514-18.812401864060508*I,9.614763530804556-13.417432377465072*I,10.159993796929943+5.255292290555217*I,-3.3473425869917377+10.872735734181418*I,-14.780257330671805-0.3357751251792336*I,-3.5295606435673337-14.967306768947404*I,11.216699727255083-6.423388420360873*I
